AKT-V-000001	Бал был очень многолюден.
AKT-V-000491	Но сходство с Дашей дало другое направление его мыслям.
AKT-V-000492	Потушив свечку, он старался заснуть, но никак не мог.
AKT-V-000493	Мысль о Даше не давала ему покою;
AKT-V-000494	он долго ворочался с боку на бок и наконец погрузился в какой-то полусон, ще, как в тумане, вертелись перед ним старая бригадирша, г.
AKT-V-000495	Рыбаренко, рыцарь Амвросий и Семён Семёнович Теляев.
AKT-V-000496	Тяжёлый стон, вырвавшийся как будто из стеснённой сильным отчаяньем груди, его внезапно пробудил.
AKT-V-000497	Он открыл глаза и при свете огня, ещё не погасшего в камине, увидел подле себя Дашу.
AKT-V-000498	Вид её очень его удивил, но его ещё более поразило её одеяние.
AKT-V-000499	На ней было совершенно такое платье, как на портрете Прасковьи Андреевны;
AKT-V-000500	розовый букет был приколот к её груди, и в руке она держала старинное опахало.
AKT-V-000501	— Вы ли это?
AKT-V-000502	— вскричал Руневский,
AKT-V-000503	— об эту пору, в этом наряде!
AKT-V-000504	— Мой друг,
AKT-V-000505	— отвечала она,
AKT-V-000506	— если я вам мешаю, я уйду прочь.
AKT-V-000507	— Останьтесь, останьтесь!
AKT-V-000508	— возразил он.
AKT-V-000509	— Скажите, что вас сюда привело и чем я могу вам служить?
AKT-V-000510	Она опять застонала, и стон этот был так странен и выразителен, что он пронзил ему сердце.
AKT-V-000511	— Ах,
AKT-V-000512	— сказала она,
AKT-V-000513	— мне немного времени остаётся с вами говорить;
AKT-V-000514	я скоро должна возвратиться туда, откуда пришла;
AKT-V-000515	а там так жарко!
AKT-V-000516	Она опустилась на кресла подле дивана, где лежал Руневский, и стала обмахивать себя опахалом.
AKT-V-000517	— Где жарко?
AKT-V-000518	откуда вы пришли?
AKT-V-000519	— спросил Руневский.
AKT-V-000520	— Не спрашивайте меня,
AKT-V-000521	— отвечала она, вздрогнув при его вопросе,
AKT-V-000522	— не говорите со мной об этом!
AKT-V-000523	Я так рада, что вас вижу,
AKT-V-000524	— прибавила она с улыбкой.
AKT-V-000525	— Вы долго здесь пробудете?
AKT-V-000526	— Как можно дольше!
AKT-V-000527	— И всегда будете здесь ночевать?
AKT-V-000528	— Я думаю.
AKT-V-000529	Но зачем вы меня об этом спрашиваете?
AKT-V-000530	— Для того чтобы мне можно было говорить с вами наедине.
AKT-V-000531	Я всякую ночь сюда прихожу, но в первый раз вас здесь вижу.
AKT-V-000532	— Это не мудрено, я только сегодня приехал.
AKT-V-000533	— Руневский,
AKT-V-000534	— сказала она, помолчав,
AKT-V-000535	— окажите мне услугу.
AKT-V-000536	В углу, возле дивана, на этажерке есть коробочка;
AKT-V-000537	в ней вы найдёте золотое кольцо;
AKT-V-000538	возьмите его и завтра обручитесь с моим портретом.
AKT-V-000539	— Боже мой!
AKT-V-000540	— воскликнул Руневский,
AKT-V-000541	— чего вы от меня требуете!
AKT-V-000542	Она в третий раз застонала ещё жалобнее, нежели прежде.
AKT-V-000543	— Ради Бога,
AKT-V-000544	— закричал он, не в силах удержаться от внутреннего содрогания,
AKT-V-000545	— ради Бога, не шутите надо мной!
AKT-V-000546	Скажите мне, что вас сюда привело?
AKT-V-000547	Зачем вы так нарядились?
AKT-V-000548	Сделайте милость, поверьте мне свою тайну!
AKT-V-000549	Он схватил её руку, но сжал только холодные костяные пальцы и почувствовал, что держит руку остова.
AKT-V-000550	— Даша, Даша!
AKT-V-000551	— закричал он в исступлении,
AKT-V-000552	— что это значит?
AKT-V-000553	— Я не Даша,
AKT-V-000554	— отвечало насмешливым голосом привидение,
AKT-V-000555	— отчего вы приняли меня за Дашу?
AKT-V-000556	Руневский чуть не упал в обморок;
AKT-V-000557	но в эту минуту послышался сильный стук в дверь, и знакомый его лакей вошёл со свечою в руках.
AKT-V-000558	— Чего изволите, сударь?
AKT-V-000559	— спросил он.
AKT-V-000560	— Я тебя не звал.
AKT-V-000561	— Да вы изволили позвонить.
AKT-V-000562	Вот и снурок ещё болтается!
AKT-V-000563	Руневский в самом деле увидел снурок от колокольчика, которого прежде не заметил, и в то же время понял причину своего испуга.
AKT-V-000564	То, что он принял за Дашу, был портрет Прасковьи Андреевны;
AKT-V-000565	когда он её хотел взять за руку, он схватил жёсткую кисть снурка, и ему показалось, что он держит костяные пальцы скелета.
AKT-V-000566	Но он с нею разговаривал, она ему отвечала;
AKT-V-000567	он принуждён был внутренне сознаться, что истолкование его не совсем естественно, и решил, что всё виденное им
AKT-V-000568	— один из тех снов, которым на русском языке нет, кажется, приличного слова, но которые французы называют cauchemar.
AKT-V-000569	Сны эти обыкновенно продолжаются и после пробуждения и часто, но не всегда, бывает сопряжены с давлением в груди.
AKT-V-000570	Отличительная их черта
AKT-V-000571	— ясность и совершенное сходство с действительностию.
AKT-V-000572	Руневский отослал лакея и готовился уснуть, как вдруг лакей опять явился в дверях.
AKT-V-000573	Пионы на его носу уступили место смертельной бледности;
AKT-V-000574	он дрожал всем телом.
AKT-V-000575	— Что с тобой случилось?
AKT-V-000576	— спросил Руневский.
AKT-V-000577	— Воля ваша,
AKT-V-000578	— отвечал он,
AKT-V-000579	— я не могу ночевать в этом этаже и ни за что не войду опять в свою комнату!
AKT-V-000580	— Да говори же, что в твоей комнате?
AKT-V-000581	— Что в моей комнате?
AKT-V-000582	А то, что в ней сидит портрет Прасковьи Андреевны!
AKT-V-000583	— Что ты говоришь!
AKT-V-000584	Это тебе показалось, оттого что ты пьян!
AKT-V-000585	— Нет, нет, сударь, помилуйте!
AKT-V-000586	Я только что хотел войти, как увидел, что она там, сердечная;
AKT-V-000587	прости меня, Боже!
AKT-V-000588	Она сидела ко мне спиной, и я бы умер со страха, если б она оглянулась, да, к счастию, я успел тихонько уйти, и она меня не заметила.
AKT-V-000589	В эту минуту вошёл слуга Руневского.
AKT-V-000590	— Александр Андреевич,
AKT-V-000591	— сказал он дрожащим голосом,
AKT-V-000592	— здесь что-то нехорошо!
AKT-V-000593	На вопрос Руневского он продолжал:
AKT-V-000594	— Мы было поговорили с Яковом Антипычем да и легли спать, как Яков Антипыч мне говорят:
AKT-V-000595	ваш барин звонит!
AKT-V-000596	Я, признаться, засыпал, да к тому ж Яков Антипыч не совсем были в пропорции, так я и думаю себе, что им так показалось;
AKT-V-000597	перевернулся на другой бок, да и захрапел.
AKT-V-000598	Чуть только захрапел, слышу
AKT-V-000599	— кто-то шарк, шарк, да как будто каблучками постукивает.
AKT-V-000600	Я открыл глаза, да уж не знаю, увидел ли что или нет, а так холодом и обдало;
AKT-V-000601	вскочил и пустился бежать по коридору, теперь уж как прикажете, а позвольте мне ночевать где-нибудь в другом месте, хоть на дворе!
AKT-V-000602	Руневский решился исследовать эту загадку.
AKT-V-000603	Надев халат, он взял в руку свечу и отправился туда, где, по словам Якова, была Прасковья Андреевна.
AKT-V-000604	Яков и слуга Руневского следовали за ним и дрожали от страха.
AKT-V-000605	Дошедши до полурастворённой двери, Руневский остановился.
AKT-V-000606	Всех его сил едва достало, чтобы выдержать зрелище, представившееся его глазам.
AKT-V-000607	То самое привидение, которое он видел у себя в комнате, сидело тут на старинных креслах и казалось погружено в размышления.
AKT-V-000608	Черты лица его были бледны и прекрасны, ибо то были черты Даши, но оно подняло руку
AKT-V-000609	— и рука её была костяная!
AKT-V-000610	Привидение долго на неё смотрело, горестно покачало головой и застонало.
AKT-V-000611	Стон этот проник в самую глубину души Руневского.
AKT-V-000612	Он, сам себя не помня, отворил дверь и увидел, что в комнате никого нет.
AKT-V-000613	То, что казалось ему привидением, была не что иное, как пёстрая ливрея, повешенная через спинку кресел и которую издали можно было принять за сидящую женщину.
AKT-V-000614	Руневский не понимал, как он до такой степени мог обмануться.
AKT-V-000615	Но товарищи его всё ещё не решались войти в комнату.
AKT-V-000616	— Позвольте мне ночевать поближе к вам,
AKT-V-000617	— сказал лакей,
AKT-V-000618	— оно всё-таки лучше;
AKT-V-000619	да и к тому ж, если вы меня потребуете, я буду у вас под рукою.
AKT-V-000620	Извольте только крикнуть:
AKT-V-000621	Яков!
AKT-V-000622	— Позвольте уж и мне остаться с Яковом Антипычем, а то неравно…Руневский воротился в свою спальню, а слуга его и лакей расположились за дверьми в коридоре.
AKT-V-000623	Остаток ночи Руневский провёл спокойно;
AKT-V-000624	но когда проснулся, он не мог забыть своего приключения.
AKT-V-000625	Сколько он ни заговаривал об зелёных комнатах, но всегда бригадирша или Клеопатра Платоновна находили средство своротить разговор на другой предмет.
AKT-V-000626	Всё, что он мог узнать, было то же, что ему рассказывал Яков:
AKT-V-000627	тётушка Сугробиной, будучи ещё очень молода, должна была выйти за богатого иностранца, но за день перед свадьбою жених исчез, а бедная невеста занемогла от горести и вскоре умерла.
AKT-V-000628	Многие даже в то время уверяли, что она отравила себя ядом.
AKT-V-000629	Комнаты, назначенные для неё, остались в том же виде, как были первоначально, и никто до приезда Руневского не смел в них входить.
AKT-V-000630	Когда он удивлялся сходству старинного портрета с Дашей, Сугробина ему говорила:
AKT-V-000631	— И немудрено, мой батюшка;
AKT-V-000632	ведь Прасковья-то Андреевна мне родная тётка, а я родная бабушка Даши.
AKT-V-000633	Так что ж тут необыкновенного, если они одна на другую похожи?
AKT-V-000634	А что с Прасковьей-то с Андреевной несчастье случилось, так и этому нечего удивляться.
AKT-V-000635	Вышла бы за нашего, за русского, так и теперь бы ещё жива была, а то полюбился ей бродяга какой-то!
AKT-V-000636	Нечего сказать, и в наше время иногда затмение на людей находило;
AKT-V-000637	только не прогневайся, мой батюшка, а всё-таки умнее люди были теперешних!
AKT-V-000638	Семён Семёнович Теляев ничего не говорил, а только потчевал Руневского табаком и щёлкал и сосал попеременно.
AKT-V-000639	В этот день Руневский нашёл случай объясниться с Дашей и открыл своё сердце старой бригадирше.
AKT-V-000640	Она сначала очень удивилась, но нельзя было заметить, чтобы его предложение ей было неприятно.
AKT-V-000641	Напротив того, она поцеловала его в лоб и сказала ему, что, с её стороны, она не желает для своей внучки жениха лучше Руневского.
AKT-V-000642	— А что касается до Даши,
AKT-V-000643	— прибавила она,
AKT-V-000644	— то я давно заметила, что ты ей понравился.
AKT-V-000645	Да, мой батюшка, даром что старуха, а довольно знаю вашу братью молодёжь!
AKT-V-000646	Впрочем, в наше время дочерей-то не спрашивали;
AKT-V-000647	кого выберет отец или мать, за того они и выходили, а право, женитьбы-то счастливее были!
AKT-V-000648	Да и воспитание было другое, не хуже вашего.
AKT-V-000649	И в наше время, отец мой, науками-то не брезгали, да фанаберии-то глупой девкам в голову не вбивали;
AKT-V-000650	оттого и выходили они поскромнее ваших попрыгуний-то.
AKT-V-000651	Вот и я, мой батюшка, даром что сама по-французски не говорю, а взяла же гувернантку для Дашиной матери, и учители-то к ней ходили, и танцмейстер был.
AKT-V-000652	Всему научилась, нечего сказать, а всё-таки скромной и послушной девушкой осталась.
AKT-V-000653	Да и сама-то я за Игнатья Савельича по воле отцовской вышла, а уж полюбила-то его как!
AKT-V-000654	Не наплачусь, бывало, как в поход ему идти придётся, да нечего делать, сам, бывало, рассердится, как плакать-то начну.
AKT-V-000655	Что ты, говорит, Марфа Сергеевна, расхныкалась-то?
AKT-V-000656	На то я и бригадир, чтоб верой и правдой матушке-государыне служить!
AKT-V-000657	Не за печкой же сидеть мне, пока его сиятельство граф Пётр Александрович будет с турками воевать!
AKT-V-000658	Ворочусь
AKT-V-000659	— хорошо!
AKT-V-000660	не ворочусь
AKT-V-000661	— так уж, по крайней мере долг свой исполню по-солдатски!
AKT-V-000662	А мундир-то какой красивый на нём был!
AKT-V-000663	весь светло-зелёный, шитый золотом, воротник алый, сапоги как зеркало!..
AKT-V-000664	Да что я, старуха, заболталась про старину-то!
AKT-V-000665	Не до того тебе, мой батюшка, не до того;
AKT-V-000666	поезжай-ка в Москву да попроси Дашиной руки у тётки её, у Зориной, Федосьи Акимовны;
AKT-V-000667	от неё Даша зависит, она опекунша.
AKT-V-000668	А когда Зорина-то согласится, тогда уж приезжай сюда женихом да поживи с нами.
AKT-V-000669	Надобно ж тебе покороче познакомиться с твоей будущей бабушкой!
AKT-V-000670	Старуха ещё много говорила, но Руневский уж её не слушал.
AKT-V-000671	Он бросился в коляску и поскакал в Москву.
AKT-V-000672	Уже было поздно, когда Руневский приехал домой, и он почёл за нужное отложить до другого утра свой визит к Дашиной тётушке.
AKT-V-000673	Между тем сон его убегал, и он, пользуясь лунной ночью, пошёл ходить по городу без всякой цели, единственно чтоб успокоить волнение своего сердца.
AKT-V-000674	Улицы были уже почти пусты, лишь изредка раздавались на тротуарах поспешные шаги, или сонно стучали о мостовую дрожки извозчиков.
AKT-V-000675	Вскоре и эти звуки утихли, и Руневский остался один посреди огромного города и самой глубокой тишины.
AKT-V-000676	Прошед всю Моховую, он повернул в Кремлёвский сад и хотел идти ещё далее, как на одной скамье увидел человека, погружённого в размышления.
AKT-V-000677	Когда он поравнялся со скамью, незнакомец поднял голову, месяц осветил его лицо, и Руневский узнал г.
AKT-V-000678	Рыбаренко.
AKT-V-000679	В другое время встреча с сумасшедшим не могла бы ему быть приятна, но в этот вечер, как будто нарочно, он всё думал о Рыбаренке.
AKT-V-000680	Напрасно он сам себе повторял, что все слова этого человека не что иное, как бред расстроенного рассудка;
AKT-V-000681	что-то ему говорило, что Рыбаренко не совсем сумасшедший, что он, может быть, не без причины облекает здравый смысл своих речей в странные формы, которые для непосвящённого должны казаться дикими и несвязными, но коими он, Руневский, не должен пренебрегать.
AKT-V-000682	Его даже мучила совесть за то, что он оставил Дашу одну в таком месте, где ей угрожала опасность.
AKT-V-000683	Увидев его, Рыбаренко встал и протянул к нему руку.
AKT-V-000684	— У нас, видно, одни вкусы,
AKT-V-000685	— сказал он, улыбаясь.
AKT-V-000686	— Тем лучше!
AKT-V-000687	Сядем вместе и поболтаем о чём-нибудь.
AKT-V-000688	Руневский молча опустился на скамью, и несколько времени оба сидели, не говоря ни слова.
AKT-V-000689	Наконец Рыбаренко прервал молчание.
AKT-V-000690	— Признайтесь,
AKT-V-000691	— сказал он,
AKT-V-000692	— что, когда мы познакомились на бале, вы приняли меня за сумасшедшего?
AKT-V-000693	— Не могу скрыть от вас,
AKT-V-000694	— отвечал Руневский,
AKT-V-000695	— что вы мне показались очень странными.
AKT-V-000696	Ваши слова, ваши замечания…— Да, да;
AKT-V-000697	я думаю, что я вам показался странным.
AKT-V-000698	Меня рассердили проклятые упыри.
AKT-V-000699	Да, впрочем, и было за что сердиться, я никогда не видывал такого бесстыдства.
AKT-V-000700	Что, вы после никого из них не встречали?
AKT-V-000701	— Я был на даче бригадирши Сугробиной и видел там тех, которых вы называли упырями.
AKT-V-000702	— На даче у Сугробиной?
AKT-V-000703	— повторил Рыбаренко.
AKT-V-000704	— Скажите, поехала ли к ней её внучка?
AKT-V-000705	— Она теперь у неё, я видел её недавно.
AKT-V-000706	— Как, и она ещё жива?
AKT-V-000707	— Конечно, жива.
AKT-V-000708	Не прогневайтесь, почтенный друг, во мне кажется, что вы сильно наклепали на бедную бригадиршу.
AKT-V-000709	Она предобрая старушка и любит свою внучку от чистого сердца.
AKT-V-000710	Рыбаренко, казалось, не слыхал последних слов Руневского.
AKT-V-000711	Он приставил палец к губам с видом человека, ошибшегося в своём расчёте.
AKT-V-000712	— Странно,
AKT-V-000713	— сказал он наконец,
AKT-V-000714	— упыри обыкновенно так долго не мешкают.
AKT-V-000715	И Теляев там?
AKT-V-000716	— Там.
AKT-V-000717	— Это меня ещё более удивляет.
AKT-V-000718	Теляев принадлежит к самой лютой породе упырей, и он ещё гораздо кровожаднее Сугробиной.
AKT-V-000719	Но это так недолго продолжится, и если вы принимаете участие в бедной девушке, я вам советую взять свои меры как можно скорей.
AKT-V-000720	— Воля ваша,
AKT-V-000721	— отвечал Руневский,
AKT-V-000722	— я никак не могу думать, чтоб вы говорили сериозно.
AKT-V-000723	Ни старая бригадирша, ни Теляев мне не кажутся упырями.
AKT-V-000724	— Как,
AKT-V-000725	— возразил Рыбаренко,
AKT-V-000726	— вы в них ничего не приметили необыкновенного?
AKT-V-000727	Вы не слыхали, как Семён Семёнович щёлкает?
AKT-V-000728	— Слышал;
AKT-V-000729	но, по мне, это ещё не есть достаточная причина, чтоб обвинять человека, почтенного летами, служащего уже более сорока пяти лет беспорочно и пользующегося общим уважением.
AKT-V-000730	— О, как вы мало знаете Теляева!
AKT-V-000731	Но положим, что он щёлкает без всякого намерения, неужели вас ничто не поразило во всём быту бригадирши.
AKT-V-000732	Неужели, проведши ночь у неё в доме, вы не почувствовали ни одного содрогания, ни одного из тех минутных недугов, которые напоминают нам, что мы находимся вблизи существ, нам антипатических и принадлежащих другому миру?
AKT-V-000733	— Что касается до такого рода ощущений, то я не могу сказать, чтобы их не имел;
AKT-V-000734	но я всё приписал своему воображению и думаю, что почувствовал их у Сугробиной, как мог бы почувствовать и во всяком другом месте.
AKT-V-000735	К тому ж характер и приёмы бригадирши, столь противоположные с архитектурой и убранством её дома, без сомнения, много содействуют к особенному расположению духа тех, которые её посещают.
AKT-V-000736	Рыбаренко улыбнулся.
AKT-V-000737	— Вы заметили архитектуру её дома?
AKT-V-000738	— сказал он.
AKT-V-000739	— Прекрасный фасад!
AKT-V-000740	совершенно в италиянском вкусе!
AKT-V-000741	Только будьте уверены, что не одно устройство дома на вас подействовало.
AKT-V-000742	Послушайте,
AKT-V-000743	— продолжал он, схватив руку Руневского,
AKT-V-000744	— будьте откровенны, скажите мне как другу, не случилось ли с вами чего-нибудь особенного на даче у старой Сугробиной?
AKT-V-000745	Руневский вспомнил о зелёных комнатах, и так как Рыбаренко внушал ему невольную доверенность, то он не почёл за нужное что-либо от него скрывать и всё ему рассказал так точно, как оно было.
AKT-V-000746	Рыбаренко слушал его со вниманием и сказал ему, когда он кончил:
AKT-V-000747	— Напрасно вы приписываете воображению то, что действительно с вами случилось.
AKT-V-000748	История покойной Прасковьи Андреевны мне известна.
AKT-V-000749	Если хотите, я вам когда-нибудь её расскажу;
AKT-V-000750	впрочем, самые любопытные подробности могла бы вам сообщить Клеопатра Платоновна, если б она только захотела.
AKT-V-000751	Но, ради Бога, не говорите легкомысленно о вашем приключении;
AKT-V-000752	оно имеет довольно сходства и более связи, нежели вы теперь можете подозревать, с одним обстоятельством моей жизни, которое я должен вам сообщить, чтобы вас предостеречь.
AKT-V-000753	Рыбаренко несколько времени помолчал, как бы желая собраться с мыслями, и, прислонившись к липе, возле которой стояла скамья, начал следующим образом:
AKT-V-000754	— Три года тому назад предпринял я путешествие в Италию для восстановления расстроенного здоровья, в особенности чтобы лечиться виноградным соком.
AKT-V-000755	Прибыв в город Комо, на известном озере, куда обыкновенно посылают больных для этого рода лечения, услышал я, что на площади piazza Volta есть дом, уже около ста лет никем не обитаемый и известный под названием чёртова дома (la casa del diavolo).
AKT-V-000756	Почти всякий день, идучи из предместья Borgo Vico, где была моя квартира, в аlеrgo del Angelo, чтобы навещать одного приятеля, я проходил мимо этого дома, но, не зная об нём ничего особенного, никогда не обращал на него внимания.
AKT-V-000757	Теперь, услышав странное его название и несколько любопытных о нём преданий, вовсе одно на другое не похожих, я нарочно пошёл на piazza Volta и с особенным примечанием начал его осматривать.
AKT-V-000758	Наружность не обещала ничего необыкновенного:
AKT-V-000759	окна нижнего этажа с толстыми железными решётками, ставни везде затворены, стены обклеены объявлениями о молитвах по умершим, а ворота заперты и ужасно запачканы.
AKT-V-000760	В стороне была лавка цирюльника, и мне пришло в голову туда зайти, чтобы спросить, нельзя ли осмотреть внутренность чёртова дома?
AKT-V-000761	Входя, увидел я аббата, развалившегося в креслах и обвязанного грязным полотенцем.
AKT-V-000762	Толстый цирюльник, засучив рукава, тщательно и проворно мылил ему бороду и даже, в жару действия, нередко мазал его по носу и по ушам, что, однако, аббат сносил с большим терпением.
AKT-V-000763	На вопрос мой цирюльник отвечал, что дом всегда заперт и что едва ли хозяин дозволит для кого-либо отпереть его.
AKT-V-000764	Не знаю почему, цирюльник принял меня за англичанина и, делая руками пояснительные знаки, рассказал очень красноречиво, что уже несколько из моих соотечественников старались получить позволение войты в этот дом, но что попытки их оставались тщетными, ибо дон Пьетро д'Урджина им всегда отвечал наотрез, что дом его не трактир и не картинная галерея.
AKT-V-000765	Пока цирюльник говорил, аббат слушал его со вниманием, и я не раз заметил, как под толстым слоем мыльной пены странная улыбка показывалась на его губах.
AKT-V-000766	Когда цирюльник, окончив свою работу, обтёр ему бороду полотенцем, он встал, и мы вместе вышли из лавки.
AKT-V-000767	— Могу вас уверить, синьор,
AKT-V-000768	— сказал он, обращаясь ко мне,
AKT-V-000769	— что вы напрасно так беспокоитесь и что чёртов дом нисколько не заслуживает вашего внимания.
AKT-V-000770	Это совершенно пустое строение, и всё, что вы могли о нём слышать, не что иное, как выдумка самого дон Пьетро.
AKT-V-000771	— Помилуйте,
AKT-V-000772	— возразил я,
AKT-V-000773	— зачем бы хозяину клепать на свой дом, когда он, при таком стечении иностранцев, мог бы отдавать его внаймы и получать большой доход?
AKT-V-000774	— На это есть более причин, чем вы думаете,
AKT-V-000775	— отвечал аббат.
AKT-V-000776	— Как,
AKT-V-000777	— спросил я с удивлением, вспомнив известный анекдот про Тюренна,
AKT-V-000778	— неужели он делает фальшивую монету?
AKT-V-000779	— Нет,
AKT-V-000780	— возразил аббат,
AKT-V-000781	— дон Пьетро
AKT-V-000782	— большой чудак, но честный человек.
AKT-V-000783	Говорят про него, что он торгует запрещёнными товарами и что даже он в сношениях с известным контрабандистом Титта Каннелли;
AKT-V-000784	но я этому не верю.
AKT-V-000785	— Кто такой Титта Каннелли?
AKT-V-000786	— спросил я.
AKT-V-000787	— Титта Каннелли был лодочником на нашем озере, но раз на рынке он поспорил с товарищем и убил его на месте.
AKT-V-000788	Совершив преступление, он убежал в горы и сделался начальником контрабандистов.
AKT-V-000789	Говорят, будто ввозимые им из Швейцарии товары он складывает в одной вилле, принадлежащей дон Пьетро;
AKT-V-000790	ещё говорят, что, кроме товаров, он в той же вилле сохраняет большие суммы денег, приобретённые им вовсе не торговлею;
AKT-V-000791	но, повторяю вам, я не верю этим слухам.
AKT-V-000792	— Скажите же, ради Бога, что за человек ваш дон Пьетро и что значит вся эта история про чёртов дом?
AKT-V-000793	— Это значит, что дон Пьетро, чтобы скрыть одно событие, случившееся в его семействе, и отвлечь внимание от настоящего места, где случилось это событие, распустил о городском доме своём множество слухов, один нелепее другого.
AKT-V-000794	Народ с жадностью бросился на эти рассказы, возбуждающие его любопытство, и забыл о приключении, которое первоначально дало им повод.
AKT-V-000795	Надобно вам знать, что хозяину чёртова дома с лишком восемьдесят лет.
AKT-V-000796	Отец его, который также назывался дон Пьетро д'Урджина, не пользовался уважением своих сограждан.
AKT-V-000797	В неурожайные годы, когда половина жителей умирала с голоду, он, имея огромные запасы хлеба, продавал его по необыкновенно высокой цене, несмотря на несметные свои богатства.
AKT-V-000798	В один из таких годов, не знаю для чего, предпринял он путешествие в ваше отечество.
AKT-V-000799	Я давно заметил,
AKT-V-000800	— продолжал аббат,
AKT-V-000801	— что вы не англичанин, а русский, несмотря на то, что синьор Финарди, мой цирюльник, уверен в противном.
AKT-V-000802	Итак, в один из самых несчастных годов старый дон Пьетро отправился в Россию, поручив все дела своему сыну, теперешнему дон Пьетро.
AKT-V-000803	Между тем настала весна, новые урожаи обещали обильную жатву, и цена на хлеб значительно спала.
AKT-V-000804	Пришла осень, жатва кончилась, и хлеб стал нипочём.
AKT-V-000805	Сын дон Пьетро, которому отец, уезжая, оставил строгие наставления, сначала так дорожился, что не много сбывал своего товара;
AKT-V-000806	потом ему не стали уже давать цены, назначенной его отцом, и, наконец, перестали к нему приходить вовсе.
AKT-V-000807	В нашем краю, слава богу, неурожаи очень редки, и потому весь барыш, на который надеялся старый Урджина, обратился в ничто.
AKT-V-000808	Сын его несколько раз к нему писал, но перемена в цене произошла так быстро, что он не успел получить от отца разрешения её убавить.
AKT-V-000809	Многие уверяют, что покойный дон Пьетро был скуп до невероятности, но я скорее думаю, что он был большой злодей и притом такой же чудак, как и его сын.
AKT-V-000810	Письма сего последнего заставили его поспешно покинуть Россию и воротиться в Комо.
AKT-V-000811	Если бы дон Пьетро был так скуп, как говорят, то он бы или продал свой хлеб по существующей цене, или оставил его в магазинах;
AKT-V-000812	но он распустил в городе слух, что раздаст его бедным, а вместо того приказал весь запас вывалить в озеро.
AKT-V-000813	Когда же в назначенный день бедный народ собрался перед его домом, то он, высунувшись из окошка, закричал толпе, что хлеб её на дне озера и что кто умеет нырять, может там достать его.
AKT-V-000814	Такой поступок ещё более унизил его в глазах жителей Комо, и они дали ему прозвание злого, il cattivo.
AKT-V-000815	В городе давно уже ходил слух, что он продал душу чёрту и что чёрт вручил ему каменную доску с кабалистическими знаками, которая до тех пор должна доставлять ему все наслаждения земные, пока не разобьётся.
AKT-V-000816	С уничтожением её магической силы чёрт, по договору получил право взять душу дон Пьетро.
AKT-V-000817	Тогда дон Пьетро жил в загородном доме, недалеко от villa d'Este.
AKT-V-000818	В одно утро приор монастыря св.
AKT-V-000819	Севастиана, стоя у окошка и смотря на дорогу, увидел человека на чёрной лошади, который остановился у окна и ему сказал:
AKT-V-000820	«Знай, что я чёрт и еду за Пьетро д'Урджина, чтобы отвести его в ад.
AKT-V-000821	Расскажи это всей братии!»
AKT-V-000822	Через несколько времени приор увидел того же человека, возвращающегося с дон Пьетро, лежащим поперёк седла.
AKT-V-000823	Он скакал во весь опор, покрыв жертву свою чёрным плащом.
AKT-V-000824	Сильный ветер раздувал этот плащ, и приор мог заметить, что старик был в халате и в ночном колпаке:
AKT-V-000825	чёрт, посетивший его неожиданно, застал его в постеле и не дал ему времени одеться.
AKT-V-000826	Вот что говорит предание.
AKT-V-000827	Дело в том, что дон Пьетро, вскоре по возвращении своём из России, пропал без вести.
AKT-V-000828	Сын его, чтоб прекратить неприятные толки, объявил, что он скоропостижно умер, и велел для формы похоронить пустой гроб.
AKT-V-000829	После погребения, пришедши в спальню отца, он увидел на стене картину al fresco, которой никогда прежде не знал.
